============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.1     |    0.480 |    0.590 |    1.229 | +22.9%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.2     |    0.490 |    0.600 |    1.224 | +22.4%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.3     |    0.480 |    0.590 |    1.229 | +22.9%
ai-ml_clip_trace_1                            |    3.260 |    3.540 |    1.086 | +8.6%
ai-ml_clip_trace_3                            |    2.860 |    3.210 |    1.122 | +12.2%
ai-ml_llama2.c-stories110M.1                  |    0.870 |    1.940 |    2.230 | +123.0%
ai-ml_llama2.c-stories110M.2                  |    0.850 |    1.930 |    2.271 | +127.1%
ai-ml_llama2.c-stories110M.3                  |    0.830 |    1.920 |    2.313 | +131.3%
ai-ml_llama2.c-stories15M.1                   |    0.820 |    2.230 |    2.720 | +172.0%
ai-ml_llama2.c-stories15M.2                   |    0.820 |    2.170 |    2.646 | +164.6%
ai-ml_llama2.c-stories15M.3                   |    0.830 |    2.100 |    2.530 | +153.0%
ai-ml_llama2.c-stories42M.1                   |    0.820 |    2.220 |    2.707 | +170.7%
ai-ml_llama2.c-stories42M.2                   |    0.800 |    2.210 |    2.762 | +176.2%
ai-ml_llama2.c-stories42M.3                   |    0.810 |    2.220 |    2.741 | +174.1%
ai-ml_rwkv_trace_1                            |    0.100 |    0.120 |    1.200 | +20.0%
ai-ml_rwkv_trace_2                            |    0.570 |    0.680 |    1.193 | +19.3%
ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1     |    2.210 |    2.350 |    1.063 | +6.3%
ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2     |    2.550 |    2.680 |    1.051 | +5.1%
ai-ml_stable-diffusion.cpp-v1-5-pruned-emao.. |    2.410 |    2.650 |    1.100 | +10.0%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    1.720 |    1.800 |    1.047 | +4.7%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    2.480 |    2.600 |    1.048 | +4.8%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    2.540 |    2.670 |    1.051 | +5.1%
ai-ml_vit.cpp-base-ggml-model-f16.gguf.arma.. |    3.060 |    3.400 |    1.111 | +11.1%
ai-ml_vit.cpp-large-ggml-model-f16.gguf.arm.. |    3.140 |    3.470 |    1.105 | +10.5%
ai-ml_whisper_trace_1                         |    2.820 |    2.980 |    1.057 | +5.7%
ai-ml_whisper_trace_2                         |    2.830 |    2.990 |    1.057 | +5.7%
ai-ml_whisper_trace_3                         |    2.850 |    2.980 |    1.046 | +4.6%
gtraces_v2_arizona_0000                       |    1.300 |    1.740 |    1.338 | +33.8%
gtraces_v2_arizona_0001                       |    1.480 |    1.730 |    1.169 | +16.9%
gtraces_v2_arizona_0002                       |    1.390 |    1.980 |    1.424 | +42.4%
gtraces_v2_charlie_0000                       |    1.030 |    1.370 |    1.330 | +33.0%
gtraces_v2_charlie_0001                       |    0.860 |    1.280 |    1.488 | +48.8%
gtraces_v2_charlie_0002                       |    0.650 |    0.870 |    1.338 | +33.8%
gtraces_v2_charlie_0003                       |    0.650 |    0.800 |    1.231 | +23.1%
gtraces_v2_charlie_0004                       |    0.840 |    0.990 |    1.179 | +17.9%
gtraces_v2_merced_0000                        |    0.640 |    0.760 |    1.188 | +18.8%
gtraces_v2_merced_0001                        |    0.490 |    0.590 |    1.204 | +20.4%
gtraces_v2_merced_0002                        |    0.490 |    0.630 |    1.286 | +28.6%
gtraces_v2_merced_0003                        |    0.470 |    0.580 |    1.234 | +23.4%
gtraces_v2_merced_0004                        |    0.530 |    0.660 |    1.245 | +24.5%
gtraces_v2_sierra.a.3_0000                    |    0.420 |    0.440 |    1.048 | +4.8%
gtraces_v2_sierra.a.3_0001                    |    0.490 |    0.540 |    1.102 | +10.2%
gtraces_v2_sierra.a.3_0002                    |    0.480 |    0.520 |    1.083 | +8.3%
gtraces_v2_sierra.a.3_0003                    |    0.460 |    0.520 |    1.130 | +13.0%
gtraces_v2_sierra.a.3_0004                    |    0.460 |    0.510 |    1.109 | +10.9%
gtraces_v2_sierra.a.4_0000                    |    0.370 |    0.460 |    1.243 | +24.3%
gtraces_v2_sierra.a.4_0001                    |    0.330 |    0.390 |    1.182 | +18.2%
gtraces_v2_sierra.a.4_0002                    |    0.340 |    0.400 |    1.176 | +17.6%
gtraces_v2_sierra.a.4_0003                    |    0.380 |    0.450 |    1.184 | +18.4%
gtraces_v2_sierra.a.4_0004                    |    0.390 |    0.480 |    1.231 | +23.1%
gtraces_v2_sierra.a.6_0000                    |    0.480 |    0.500 |    1.042 | +4.2%
gtraces_v2_sierra.a.6_0001                    |    0.410 |    0.470 |    1.146 | +14.6%
gtraces_v2_sierra.a.6_0002                    |    0.450 |    0.480 |    1.067 | +6.7%
gtraces_v2_sierra.a.6_0003                    |    0.420 |    0.460 |    1.095 | +9.5%
gtraces_v2_sierra.a.6_0004                    |    0.470 |    0.480 |    1.021 | +2.1%
gtraces_v2_tahoe_0000                         |    0.570 |    0.650 |    1.140 | +14.0%
gtraces_v2_tahoe_0001                         |    0.460 |    0.540 |    1.174 | +17.4%
gtraces_v2_tahoe_0002                         |    0.620 |    0.760 |    1.226 | +22.6%
gtraces_v2_tahoe_0003                         |    0.470 |    0.540 |    1.149 | +14.9%
gtraces_v2_tahoe_0004                         |    0.570 |    0.660 |    1.158 | +15.8%
gtraces_v2_tango_0000                         |    0.580 |    0.600 |    1.034 | +3.4%
gtraces_v2_tango_0001                         |    0.650 |    0.690 |    1.062 | +6.2%
gtraces_v2_tango_0002                         |    0.600 |    0.620 |    1.033 | +3.3%
gtraces_v2_tango_0003                         |    0.550 |    0.570 |    1.036 | +3.6%
gtraces_v2_tango_0004                         |    0.600 |    0.630 |    1.050 | +5.0%
gtraces_v2_yankee_0000                        |    0.480 |    0.580 |    1.208 | +20.8%
gtraces_v2_yankee_0001                        |    0.480 |    0.600 |    1.250 | +25.0%
gtraces_v2_yankee_0002                        |    0.610 |    0.730 |    1.197 | +19.7%
gtraces_v2_yankee_0003                        |    0.510 |    0.600 |    1.176 | +17.6%
gtraces_v2_yankee_0004                        |    0.500 |    0.590 |    1.180 | +18.0%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Geometric Mean Speedup: 1.4312


============================================================================================================================================================================================================================================================================================================
2. DEMAND LOAD COMPARISON [Access / Miss / MR]
   Format: Access / Miss / MR
   Diffs : (Acc %) / (Miss %) / (MR Abs)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |                            L1I                             |                            L1D                             |                            L2C                             |                            LLC                            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                                | 76.2k->75.1k (-1.4%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.1M->50.6M (-1.1%) / 19.3M->17.1M (-11.4%) / 37.6->33.7 (-3.90) | 17.6M->16.6M (-5.5%) / 9.3M->9.8M (+5.6%) / 52.8->59.0 (+6.24) | 9.3M->9.6M (+2.9%) / 5.6M->5.6M (-0.6%) / 60.4->58.3 (-2.09)
Graph_GAP_bc-12                               | 460.7k->458.4k (-0.5%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 53.8M->53.2M (-1.1%) / 18.1M->16.6M (-8.6%) / 33.7->31.2 (-2.53) | 17.2M->16.2M (-6.2%) / 9.6M->10.1M (+5.5%) / 55.8->62.8 (+6.95) | 9.6M->9.8M (+1.8%) / 5.7M->5.8M (+0.6%) / 59.5->58.8 (-0.71)
Graph_GAP_bfs-10                              | 9.0M->9.0M (-0.6%) / 16.0->16.0 (+0.0%) / 0.0->0.0 (+0.00) | 41.7M->41.6M (-0.3%) / 9.0M->3.2M (-64.3%) / 21.6->7.7 (-13.85) | 5.1M->2.7M (-45.9%) / 3.1M->445.7k (-85.8%) / 62.0->16.3 (-45.70) | 3.1M->418.4k (-86.6%) / 2.9M->291.1k (-90.0%) / 92.5->69.6 (-22.96)
Graph_GAP_bfs-14                              | 10.0M->9.9M (-0.5%) / 16.0->16.0 (+0.0%) / 0.0->0.0 (+0.00) | 40.1M->40.0M (-0.3%) / 8.8M->2.5M (-71.1%) / 21.9->6.4 (-15.59) | 4.6M->2.2M (-52.0%) / 3.1M->443.0k (-85.7%) / 67.8->20.2 (-47.55) | 3.1M->405.8k (-86.9%) / 2.8M->273.6k (-90.1%) / 89.8->67.4 (-22.37)
Graph_GAP_cc-13                               | 2.2M->2.0M (-11.5%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 54.0M->53.0M (-1.8%) / 18.9M->14.8M (-21.8%) / 35.0->27.8 (-7.13) | 15.3M->14.3M (-6.1%) / 4.7M->4.8M (+1.5%) / 30.9->33.4 (+2.49) | 4.7M->4.7M (+0.5%) / 2.0M->1.7M (-12.0%) / 42.0->36.7 (-5.22)
Graph_GAP_cc-14                               | 2.3M->2.1M (-11.4%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 53.0M->51.6M (-2.6%) / 19.3M->14.5M (-25.0%) / 36.3->28.0 (-8.35) | 14.9M->14.0M (-6.1%) / 4.6M->4.7M (+2.5%) / 31.0->33.9 (+2.86) | 4.6M->4.7M (+1.5%) / 1.9M->1.7M (-11.5%) / 42.0->36.6 (-5.36)
Graph_GAP_cc-5                                | 2.8M->2.4M (-11.7%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 52.1M->50.5M (-3.1%) / 19.6M->14.3M (-27.3%) / 37.7->28.2 (-9.42) | 14.6M->13.7M (-6.3%) / 4.5M->4.6M (+1.7%) / 30.8->33.5 (+2.63) | 4.5M->4.6M (+0.9%) / 1.9M->1.7M (-11.6%) / 42.1->36.9 (-5.20)
Graph_GAP_sssp-10                             | 17.7M->17.6M (-0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.2M->49.0M (-4.2%) / 17.9M->9.7M (-45.7%) / 34.9->19.8 (-15.11) | 10.4M->9.1M (-12.5%) / 4.3M->3.8M (-10.1%) / 41.1->42.2 (+1.15) | 4.3M->3.7M (-13.1%) / 2.2M->1.5M (-32.1%) / 51.0->39.8 (-11.11)
