============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.1     |    0.520 |    0.590 |    1.135 | +13.5%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.2     |    0.530 |    0.600 |    1.132 | +13.2%
ai-ml_biogpt.cpp-ggml-model-tocilizumab.3     |    0.520 |    0.590 |    1.135 | +13.5%
ai-ml_clip_trace_1                            |    3.470 |    3.540 |    1.020 | +2.0%
ai-ml_clip_trace_3                            |    3.120 |    3.210 |    1.029 | +2.9%
ai-ml_llama2.c-stories110M.1                  |    1.590 |    1.940 |    1.220 | +22.0%
ai-ml_llama2.c-stories110M.2                  |    1.590 |    1.930 |    1.214 | +21.4%
ai-ml_llama2.c-stories110M.3                  |    1.580 |    1.920 |    1.215 | +21.5%
ai-ml_llama2.c-stories15M.1                   |    1.730 |    2.230 |    1.289 | +28.9%
ai-ml_llama2.c-stories15M.2                   |    1.720 |    2.170 |    1.262 | +26.2%
ai-ml_llama2.c-stories15M.3                   |    1.830 |    2.100 |    1.148 | +14.8%
ai-ml_llama2.c-stories42M.1                   |    1.780 |    2.220 |    1.247 | +24.7%
ai-ml_llama2.c-stories42M.2                   |    1.780 |    2.210 |    1.242 | +24.2%
ai-ml_llama2.c-stories42M.3                   |    1.780 |    2.220 |    1.247 | +24.7%
ai-ml_rwkv_trace_1                            |    0.110 |    0.120 |    1.091 | +9.1%
ai-ml_rwkv_trace_2                            |    0.580 |    0.680 |    1.172 | +17.2%
ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1     |    2.260 |    2.350 |    1.040 | +4.0%
ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2     |    2.600 |    2.680 |    1.031 | +3.1%
ai-ml_stable-diffusion.cpp-v1-5-pruned-emao.. |    2.570 |    2.650 |    1.031 | +3.1%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    1.790 |    1.800 |    1.006 | +0.6%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    2.530 |    2.600 |    1.028 | +2.8%
ai-ml_stable-diffusion.cpp-v2-1_768-nonema-.. |    2.600 |    2.670 |    1.027 | +2.7%
ai-ml_vit.cpp-base-ggml-model-f16.gguf.arma.. |    3.290 |    3.400 |    1.033 | +3.3%
ai-ml_vit.cpp-large-ggml-model-f16.gguf.arm.. |    3.360 |    3.470 |    1.033 | +3.3%
ai-ml_whisper_trace_1                         |    2.900 |    2.980 |    1.028 | +2.8%
ai-ml_whisper_trace_2                         |    2.920 |    2.990 |    1.024 | +2.4%
ai-ml_whisper_trace_3                         |    2.920 |    2.980 |    1.021 | +2.1%
gtraces_v2_arizona_0000                       |    1.720 |    1.740 |    1.012 | +1.2%
gtraces_v2_arizona_0001                       |    1.720 |    1.730 |    1.006 | +0.6%
gtraces_v2_arizona_0002                       |    1.980 |    1.980 |    1.000 | +0.0%
gtraces_v2_charlie_0000                       |    1.350 |    1.370 |    1.015 | +1.5%
gtraces_v2_charlie_0001                       |    1.260 |    1.280 |    1.016 | +1.6%
gtraces_v2_charlie_0002                       |    0.860 |    0.870 |    1.012 | +1.2%
gtraces_v2_charlie_0003                       |    0.780 |    0.800 |    1.026 | +2.6%
gtraces_v2_charlie_0004                       |    0.990 |    0.990 |    1.000 | +0.0%
gtraces_v2_merced_0000                        |    0.770 |    0.760 |    0.987 | -1.3%
gtraces_v2_merced_0001                        |    0.600 |    0.590 |    0.983 | -1.7%
gtraces_v2_merced_0002                        |    0.630 |    0.630 |    1.000 | +0.0%
gtraces_v2_merced_0003                        |    0.590 |    0.580 |    0.983 | -1.7%
gtraces_v2_merced_0004                        |    0.670 |    0.660 |    0.985 | -1.5%
gtraces_v2_sierra.a.3_0000                    |    0.450 |    0.440 |    0.978 | -2.2%
gtraces_v2_sierra.a.3_0001                    |    0.550 |    0.540 |    0.982 | -1.8%
gtraces_v2_sierra.a.3_0002                    |    0.530 |    0.520 |    0.981 | -1.9%
gtraces_v2_sierra.a.3_0003                    |    0.530 |    0.520 |    0.981 | -1.9%
gtraces_v2_sierra.a.3_0004                    |    0.510 |    0.510 |    1.000 | +0.0%
gtraces_v2_sierra.a.4_0000                    |    0.450 |    0.460 |    1.022 | +2.2%
gtraces_v2_sierra.a.4_0001                    |    0.390 |    0.390 |    1.000 | +0.0%
gtraces_v2_sierra.a.4_0002                    |    0.400 |    0.400 |    1.000 | +0.0%
gtraces_v2_sierra.a.4_0003                    |    0.450 |    0.450 |    1.000 | +0.0%
gtraces_v2_sierra.a.4_0004                    |    0.470 |    0.480 |    1.021 | +2.1%
gtraces_v2_sierra.a.6_0000                    |    0.500 |    0.500 |    1.000 | +0.0%
gtraces_v2_sierra.a.6_0001                    |    0.460 |    0.470 |    1.022 | +2.2%
gtraces_v2_sierra.a.6_0002                    |    0.470 |    0.480 |    1.021 | +2.1%
gtraces_v2_sierra.a.6_0003                    |    0.450 |    0.460 |    1.022 | +2.2%
gtraces_v2_sierra.a.6_0004                    |    0.480 |    0.480 |    1.000 | +0.0%
gtraces_v2_tahoe_0000                         |    0.650 |    0.650 |    1.000 | +0.0%
gtraces_v2_tahoe_0001                         |    0.540 |    0.540 |    1.000 | +0.0%
gtraces_v2_tahoe_0002                         |    0.750 |    0.760 |    1.013 | +1.3%
gtraces_v2_tahoe_0003                         |    0.550 |    0.540 |    0.982 | -1.8%
gtraces_v2_tahoe_0004                         |    0.660 |    0.660 |    1.000 | +0.0%
gtraces_v2_tango_0000                         |    0.610 |    0.600 |    0.984 | -1.6%
gtraces_v2_tango_0001                         |    0.700 |    0.690 |    0.986 | -1.4%
gtraces_v2_tango_0002                         |    0.630 |    0.620 |    0.984 | -1.6%
gtraces_v2_tango_0003                         |    0.580 |    0.570 |    0.983 | -1.7%
gtraces_v2_tango_0004                         |    0.630 |    0.630 |    1.000 | +0.0%
gtraces_v2_yankee_0000                        |    0.570 |    0.580 |    1.018 | +1.8%
gtraces_v2_yankee_0001                        |    0.590 |    0.600 |    1.017 | +1.7%
gtraces_v2_yankee_0002                        |    0.740 |    0.730 |    0.986 | -1.4%
gtraces_v2_yankee_0003                        |    0.600 |    0.600 |    1.000 | +0.0%
gtraces_v2_yankee_0004                        |    0.600 |    0.590 |    0.983 | -1.7%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Geometric Mean Speedup: 1.0346


============================================================================================================================================================================================================================================================================================================
2. DEMAND LOAD COMPARISON [Access / Miss / MR]
   Format: Access / Miss / MR
   Diffs : (Acc %) / (Miss %) / (MR Abs)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |                            L1I                             |                            L1D                             |                            L2C                             |                            LLC                            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                                | 76.6k->75.1k (-1.9%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 50.8M->50.6M (-0.5%) / 17.1M->17.1M (-0.1%) / 33.6->33.7 (+0.16) | 16.6M->16.6M (+0.0%) / 9.9M->9.8M (-0.5%) / 59.3->59.0 (-0.29) | 9.6M->9.6M (-0.3%) / 5.5M->5.6M (+1.1%) / 57.5->58.3 (+0.78)
Graph_GAP_bc-12                               | 459.3k->458.4k (-0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 53.5M->53.2M (-0.5%) / 16.6M->16.6M (+0.0%) / 31.0->31.2 (+0.18) | 16.2M->16.2M (+0.0%) / 10.2M->10.1M (-0.2%) / 63.0->62.8 (-0.16) | 9.8M->9.8M (+0.1%) / 5.7M->5.8M (+1.6%) / 58.0->58.8 (+0.84)
