================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
================================================================================================================================================================
Trace Name                          |     Base |      Exp |  Speedup |     Diff%
ai-ml_llama2.c-stories110M.3        |    1.920 |    1.820 |    0.948 | -5.2%
ai-ml_llama2.c-stories15M.1         |    2.230 |    2.000 |    0.897 | -10.3%
ai-ml_llama2.c-stories15M.2         |    2.170 |    2.060 |    0.949 | -5.1%
ai-ml_llama2.c-stories15M.3         |    2.100 |    1.980 |    0.943 | -5.7%
ai-ml_llama2.c-stories42M.1         |    2.220 |    1.940 |    0.874 | -12.6%
ai-ml_llama2.c-stories42M.2         |    2.210 |    1.940 |    0.878 | -12.2%
ai-ml_llama2.c-stories42M.3         |    2.220 |    1.920 |    0.865 | -13.5%
ai-ml_rwkv_trace_1                  |    0.120 |    0.120 |    1.000 | +0.0%
ai-ml_rwkv_trace_2                  |    0.680 |    0.680 |    1.000 | +0.0%
ai-ml_stable-diffusion.cpp-sd-v1-.. |    2.350 |    2.350 |    1.000 | +0.0%
ai-ml_stable-diffusion.cpp-sd-v1-.. |    2.680 |    2.690 |    1.004 | +0.4%
ai-ml_stable-diffusion.cpp-v1-5-p.. |    2.650 |    2.550 |    0.962 | -3.8%
ai-ml_stable-diffusion.cpp-v2-1_7.. |    1.800 |    1.810 |    1.006 | +0.6%
ai-ml_stable-diffusion.cpp-v2-1_7.. |    2.600 |    2.620 |    1.008 | +0.8%
ai-ml_stable-diffusion.cpp-v2-1_7.. |    2.670 |    2.690 |    1.007 | +0.7%
ai-ml_vit.cpp-base-ggml-model-f16.. |    3.400 |    3.380 |    0.994 | -0.6%
ai-ml_vit.cpp-large-ggml-model-f1.. |    3.470 |    3.440 |    0.991 | -0.9%
ai-ml_whisper_trace_1               |    2.980 |    2.960 |    0.993 | -0.7%
ai-ml_whisper_trace_2               |    2.990 |    2.980 |    0.997 | -0.3%
ai-ml_whisper_trace_3               |    2.980 |    2.980 |    1.000 | +0.0%
gtraces_v2_arizona_0000             |    1.740 |    1.700 |    0.977 | -2.3%
gtraces_v2_arizona_0001             |    1.730 |    1.700 |    0.983 | -1.7%
gtraces_v2_arizona_0002             |    1.980 |    1.970 |    0.995 | -0.5%
gtraces_v2_charlie_0000             |    1.370 |    1.180 |    0.861 | -13.9%
gtraces_v2_charlie_0001             |    1.280 |    1.070 |    0.836 | -16.4%
gtraces_v2_charlie_0002             |    0.870 |    0.790 |    0.908 | -9.2%
gtraces_v2_charlie_0003             |    0.800 |    0.760 |    0.950 | -5.0%
gtraces_v2_charlie_0004             |    0.990 |    0.970 |    0.980 | -2.0%
gtraces_v2_merced_0000              |    0.760 |    0.760 |    1.000 | +0.0%
gtraces_v2_merced_0001              |    0.590 |    0.590 |    1.000 | +0.0%
gtraces_v2_merced_0002              |    0.630 |    0.620 |    0.984 | -1.6%
gtraces_v2_merced_0003              |    0.580 |    0.580 |    1.000 | +0.0%
gtraces_v2_merced_0004              |    0.660 |    0.650 |    0.985 | -1.5%
gtraces_v2_sierra.a.3_0000          |    0.440 |    0.460 |    1.045 | +4.5%
gtraces_v2_sierra.a.3_0001          |    0.540 |    0.550 |    1.019 | +1.9%
gtraces_v2_sierra.a.3_0002          |    0.520 |    0.540 |    1.038 | +3.8%
gtraces_v2_sierra.a.3_0003          |    0.520 |    0.540 |    1.038 | +3.8%
gtraces_v2_sierra.a.3_0004          |    0.510 |    0.520 |    1.020 | +2.0%
gtraces_v2_sierra.a.4_0000          |    0.460 |    0.460 |    1.000 | +0.0%
gtraces_v2_sierra.a.4_0001          |    0.390 |    0.400 |    1.026 | +2.6%
gtraces_v2_sierra.a.4_0002          |    0.400 |    0.410 |    1.025 | +2.5%
gtraces_v2_sierra.a.4_0003          |    0.450 |    0.460 |    1.022 | +2.2%
gtraces_v2_sierra.a.4_0004          |    0.480 |    0.480 |    1.000 | +0.0%
gtraces_v2_sierra.a.6_0000          |    0.500 |    0.520 |    1.040 | +4.0%
gtraces_v2_sierra.a.6_0001          |    0.470 |    0.480 |    1.021 | +2.1%
gtraces_v2_sierra.a.6_0002          |    0.480 |    0.490 |    1.021 | +2.1%
gtraces_v2_sierra.a.6_0003          |    0.460 |    0.470 |    1.022 | +2.2%
gtraces_v2_sierra.a.6_0004          |    0.480 |    0.500 |    1.042 | +4.2%
gtraces_v2_tahoe_0000               |    0.650 |    0.660 |    1.015 | +1.5%
gtraces_v2_tahoe_0001               |    0.540 |    0.550 |    1.019 | +1.9%
gtraces_v2_tahoe_0002               |    0.760 |    0.720 |    0.947 | -5.3%
gtraces_v2_tahoe_0003               |    0.540 |    0.540 |    1.000 | +0.0%
gtraces_v2_tahoe_0004               |    0.660 |    0.660 |    1.000 | +0.0%
gtraces_v2_tango_0000               |    0.600 |    0.610 |    1.017 | +1.7%
gtraces_v2_tango_0001               |    0.690 |    0.690 |    1.000 | +0.0%
gtraces_v2_tango_0002               |    0.620 |    0.630 |    1.016 | +1.6%
gtraces_v2_tango_0003               |    0.570 |    0.580 |    1.018 | +1.8%
gtraces_v2_tango_0004               |    0.630 |    0.630 |    1.000 | +0.0%
gtraces_v2_yankee_0000              |    0.580 |    0.580 |    1.000 | +0.0%
gtraces_v2_yankee_0001              |    0.600 |    0.590 |    0.983 | -1.7%
gtraces_v2_yankee_0002              |    0.730 |    0.730 |    1.000 | +0.0%
gtraces_v2_yankee_0003              |    0.600 |    0.600 |    1.000 | +0.0%
gtraces_v2_yankee_0004              |    0.590 |    0.590 |    1.000 | +0.0%
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Geometric Mean Speedup: 0.9826


================================================================================================================================================================
2. DEMAND LOAD COMPARISON [Access / MissRate]
   Format: Base->Exp (Diff)
   Access Diff is Relative %, MissRate Diff is Absolute Delta
================================================================================================================================================================
Trace Name                          |              L1I               |              L1D               |              L2C               |              LLC              
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                      |  75.1k->74.5k (-0.9%) / -  | 50.6M->50.8M (+0.4%) / 33.8->36.9 (+3.16) | 16.6M->17.6M (+5.9%) / 59.0->55.1 (-3.94) | 9.6M->9.5M (-0.3%) / 58.3->59.9 (+1.56)
Graph_GAP_bc-12                     | 458.4k->457.8k (-0.1%) / - | 53.2M->53.4M (+0.5%) / 31.2->33.5 (+2.35) | 16.2M->17.2M (+6.6%) / 62.8->58.5 (-4.27) | 9.8M->9.8M (+0.5%) / 58.8->60.0 (+1.16)
Graph_GAP_bfs-10                    |   9.0M->9.0M (+0.0%) / -   | 41.6M->41.6M (+0.1%) / 7.7->17.4 (+9.65) | 2.7M->5.1M (+85.0%) / 16.3->13.2 (-3.06) | 418.4k->594.9k (+42.2%) / 69.6->66.1 (-3.50)
Graph_GAP_bfs-14                    |   9.9M->9.9M (-0.0%) / -   | 40.0M->40.0M (+0.0%) / 6.3->17.5 (+11.11) | 2.2M->4.6M (+108.2%) / 20.2->16.0 (-4.20) | 405.8k->650.7k (+60.4%) / 67.4->55.8 (-11.64)
Graph_GAP_cc-13                     |   2.0M->2.0M (+1.6%) / -   | 53.0M->53.4M (+0.7%) / 27.9->31.2 (+3.39) | 14.3M->15.3M (+6.5%) / 33.4->30.6 (-2.79) | 4.7M->4.6M (-2.3%) / 36.7->40.7 (+4.00)
Graph_GAP_cc-14                     |   2.1M->2.1M (+1.3%) / -   | 51.6M->52.0M (+0.7%) / 28.0->31.4 (+3.35) | 14.0M->14.9M (+6.5%) / 33.9->30.8 (-3.13) | 4.7M->4.5M (-3.1%) / 36.6->40.6 (+4.01)
Graph_GAP_cc-5                      |   2.4M->2.5M (+1.3%) / -   | 50.5M->50.9M (+0.9%) / 28.2->31.8 (+3.52) | 13.7M->14.6M (+6.7%) / 33.5->30.6 (-2.92) | 4.6M->4.4M (-2.5%) / 36.9->40.8 (+3.81)
Graph_GAP_sssp-10                   |  17.6M->17.6M (-0.1%) / -  | 49.0M->49.8M (+1.5%) / 19.8->24.0 (+4.19) | 9.1M->10.4M (+14.3%) / 42.2->36.1 (-6.11) | 3.7M->3.6M (-2.5%) / 39.9->46.0 (+6.14)
Graph_GAP_sssp-14                   |  17.6M->17.6M (-0.1%) / -  | 49.4M->50.3M (+1.7%) / 19.6->23.8 (+4.23) | 9.0M->10.4M (+14.7%) / 42.8->36.6 (-6.12) | 3.7M->3.7M (-1.9%) / 39.3->45.4 (+6.15)
Graph_GMS_gms.k_clique_count_set_.. |  18.9M->18.9M (-0.3%) / -  | 24.4M->24.1M (-1.2%) / 4.2->4.6 (+0.45) | 383.0k->524.7k (+37.0%) / 36.2->20.9 (-15.39) | 54.0k->34.4k (-36.3%) / 82.3->99.8 (+17.56)
Graph_GMS_gms.k_clique_list_danis.. |  19.5M->19.5M (+0.1%) / -  | 39.1M->39.2M (+0.4%) / 11.3->12.9 (+1.59) | 3.6M->3.9M (+6.4%) / 26.2->24.6 (-1.58) | 940.5k->933.1k (-0.8%) / 63.3->63.7 (+0.42)
Graph_GMS_gms.k_clique_list_danis.. |  17.1M->17.2M (+0.1%) / -  | 37.9M->38.0M (+0.4%) / 12.7->14.4 (+1.74) | 3.8M->4.1M (+7.1%) / 31.5->29.4 (-2.11) | 1.2M->1.2M (-1.0%) / 66.1->66.0 (-0.12)
Graph_GMS_gms.k_clique_list_danis.. |   1.6M->1.6M (-0.0%) / -   | 45.6M->45.6M (+0.1%) / 4.1->4.7 (+0.55) | 1.5M->1.6M (+4.6%) / 39.2->37.5 (-1.69) | 589.7k->580.3k (-1.6%) / 55.0->56.3 (+1.23)
Graph_GMS_gms.k_clique_list_danis.. |   1.5M->1.5M (-0.2%) / -   | 45.6M->45.7M (+0.2%) / 6.2->6.9 (+0.74) | 2.2M->2.3M (+4.2%) / 42.8->41.4 (-1.41) | 923.9k->914.2k (-1.0%) / 50.8->51.8 (+0.99)
Graph_GMS_gms.k_clique_list_danis.. |  18.9M->18.8M (-0.4%) / -  | 24.4M->24.2M (-0.9%) / 4.2->5.1 (+0.86) | 382.2k->524.7k (+37.3%) / 41.6->38.9 (-2.76) | 56.3k->73.7k (+30.9%) / 80.6->75.4 (-5.14)
Graph_GMS_gms.k_clique_star_list... |   5.0M->5.0M (-0.0%) / -   | 31.5M->31.6M (+0.0%) / 1.2->1.9 (+0.73) | 252.7k->418.1k (+65.4%) / 50.1->34.7 (-15.34) | 122.8k->133.8k (+8.9%) / 91.9->87.2 (-4.70)
Graph_GMS_gms.maximal_clique_enum.. |  44.3M->44.3M (+0.0%) / -  | 44.4M->44.4M (+0.0%) / 0.9->10.0 (+9.17) | 22.0k->1.4M (+6203.7%) / 84.9->2.3 (-82.60) | 18.7k->18.8k (+0.6%) / 22.6->22.6 (-0.06)
Graph_GMS_gms.triangle_count.soc-.. |  55.7k->55.6k (-0.1%) / -  | 34.3M->34.5M (+0.4%) / 2.7->5.5 (+2.82) | 654.3k->1.6M (+138.6%) / 62.9->30.6 (-32.28) | 402.5k->441.8k (+9.8%) / 97.9->91.6 (-6.24)
Graph_GMS_gms.triangle_count.soc-.. |  18.3k->18.4k (+0.8%) / -  | 38.3M->38.4M (+0.4%) / 4.7->8.1 (+3.37) | 1.3M->2.5M (+93.6%) / 61.3->38.1 (-23.14) | 779.8k->827.5k (+6.1%) / 97.3->91.2 (-6.06)
Graph_GMS_gms.triangle_count.soc-.. | 83.4k->73.2k (-12.2%) / 0.0->0.0 (+0.00) | 38.6M->38.8M (+0.5%) / 5.2->8.6 (+3.34) | 1.5M->2.7M (+81.6%) / 64.7->41.8 (-22.89) | 948.2k->994.6k (+4.9%) / 97.1->92.0 (-5.10)
Graph_Ligra_ligra_BFSCC.com-lj.un.. |   7.4M->7.1M (-4.7%) / -   | 9.5M->9.3M (-2.1%) / 9.1->39.3 (+30.21) | 224.8k->1.5M (+579.4%) / 19.6->6.7 (-12.88) | 38.4k->40.5k (+5.6%) / 99.9->99.5 (-0.39)
Graph_Ligra_ligra_BFSCC.com-lj.un.. | 21.8M->20.6M (-5.5%) / - | 15.4M->12.2M (-20.7%) / 19.2->34.4 (+15.22) | 2.0M->2.8M (+38.8%) / 15.4->20.0 (+4.58) | 122.3k->198.6k (+62.4%) / 42.6->34.0 (-8.67)
Graph_Ligra_ligra_BellmanFord.com.. |  14.9M->14.9M (-0.1%) / -  | 15.4M->15.7M (+1.8%) / 7.3->38.9 (+31.59) | 300.9k->2.7M (+803.7%) / 32.2->7.7 (-24.43) | 77.1k->88.1k (+14.2%) / 99.7->91.8 (-7.93)
Graph_Ligra_ligra_CF.com-lj.ungra.. |  21.2M->21.2M (+0.0%) / -  | 21.0M->18.5M (-11.8%) / 8.4->45.3 (+36.95) | 142.4k->3.2M (+2158.1%) / 74.7->10.9 (-63.74) | 104.8k->105.7k (+0.9%) / 100.0->99.5 (-0.49)
Graph_Ligra_ligra_CF.com-lj.ungra.. |   2.7M->2.7M (+0.0%) / -   | 30.9M->31.3M (+1.0%) / 18.2->24.0 (+5.84) | 1.5M->2.1M (+45.0%) / 79.0->56.7 (-22.28) | 1.1M->1.1M (+2.5%) / 94.8->95.0 (+0.14)
