Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
gtraces_v2_merced_0003,16127322,2083654,0,0,30970025,2637672,2345835,1328412,3516549,1646420,8131207,2828184,1617192,1483004,3356431,2887679,0.49
gtraces_v2_merced_0004,15946287,1988024,0,0,29116039,2347657,2459460,1432845,3236101,1335048,8342855,2572556,1305180,1181980,2885826,2404595,0.56
gtraces_v2_sierra.a.3_0000,20613581,8868875,0,0,35941096,3354248,2954370,1487519,9336134,2533300,8467437,3076911,2498360,1778798,3426862,2753916,0.37
gtraces_v2_sierra.a.3_0001,20923373,6576795,0,0,34024377,2546226,2732932,1135989,7018027,1974306,6935640,2154509,1948330,1457319,2438365,1993338,0.45
gtraces_v2_sierra.a.3_0002,21124194,6913915,0,0,34259821,2739423,2758953,1184289,7463573,2065971,7176705,2141909,2036893,1489359,2474096,2004682,0.44
gtraces_v2_sierra.a.3_0003,21689212,6514776,0,0,35620557,3190563,3021529,1460909,7502302,2021693,9155060,2649255,1972703,1520484,2847825,2288716,0.43
gtraces_v2_sierra.a.3_0004,20486462,7020114,0,0,36051119,3264944,3059418,1479998,7914144,2114936,8835545,2538105,2077056,1545704,2952998,2351329,0.42
gtraces_v2_sierra.a.4_0000,21361810,5252286,0,0,36303298,3542658,3002664,1628285,6858258,2591331,9347214,2803203,2526888,2133798,3297577,2722167,0.36
gtraces_v2_sierra.a.4_0001,22160181,7422945,0,0,37709615,3986608,3117166,1716221,8874714,3290044,9974031,3216553,3224401,2532910,3767535,3084429,0.31
gtraces_v2_sierra.a.4_0002,22871609,6850225,0,0,35080874,3544278,2549943,1438298,8141971,3147108,8627501,2776988,3114269,2490039,3184232,2629844,0.31
gtraces_v2_sierra.a.4_0003,19972680,5288347,0,0,34306152,3222313,2478223,1370783,6522119,2588099,7839530,2676676,2554128,2172887,3272946,2711788,0.36
gtraces_v2_sierra.a.4_0004,20386293,4264031,0,0,33295222,3485834,2658446,1703966,5941334,2289195,9881802,4194892,2220168,1876898,4888925,4111753,0.39
gtraces_v2_sierra.a.6_0000,22932037,9881860,0,0,35033247,3406676,2512788,1327330,10058400,1821197,7347084,2338815,1800464,1422298,2977474,2423467,0.44
gtraces_v2_sierra.a.6_0001,21130276,8875012,0,0,33984439,3825986,3170937,2067433,9600260,2108020,10543423,5000819,2044861,1592153,5869729,4855371,0.41
gtraces_v2_sierra.a.6_0002,22993078,9424832,0,0,34892976,3299614,2423310,1300395,9682706,2175016,7135994,2457949,2152042,1665438,3062685,2496611,0.40
gtraces_v2_sierra.a.6_0003,22366888,9631737,0,0,34975769,3669172,2813862,1647375,10079729,2323052,8844290,3648376,2277357,1767498,4279979,3553108,0.39
gtraces_v2_sierra.a.6_0004,22675702,10183277,0,0,35461819,3460656,2544006,1342511,10361869,1992217,7303875,2375340,1972162,1516339,3046559,2456101,0.42
gtraces_v2_tahoe_0000,12797952,2031905,0,0,36463308,1764449,1475272,842988,2923063,1331885,4778296,2115111,1300371,1079080,2463580,2002387,0.55
gtraces_v2_tahoe_0001,15628220,2403780,0,0,35150748,2401609,1919200,1143777,3665091,1756528,6459322,2988940,1695760,1485118,3190103,2736151,0.46
gtraces_v2_tahoe_0002,9277449,124304,0,0,31379582,2545756,1828112,1258311,1789304,730218,6668094,2708090,692916,609016,3520808,2689544,0.74
gtraces_v2_tahoe_0003,15691822,2701158,0,0,34904794,2252901,1994744,1102353,3875051,1710752,6231686,2537866,1667414,1401503,2779884,2329189,0.45
gtraces_v2_tahoe_0004,11954068,1712898,0,0,36970293,1755898,1475452,840320,2632608,1199364,4682124,2040227,1163612,1007406,2178206,1845293,0.57
gtraces_v2_tango_0000,17254530,3757866,0,0,32313598,2206858,1949243,934334,4557314,1143861,5212499,1786373,1126253,872210,2355545,1926913,0.54
gtraces_v2_tango_0001,18223631,2213664,0,0,29694927,2037741,1622444,836062,3129027,969807,5018576,1774557,954937,817622,2289042,1940325,0.64
gtraces_v2_tango_0002,16502971,3587608,0,0,32686409,2219987,2102591,1031124,4421792,1047840,5810595,1881138,1026990,789627,2502598,1967190,0.57
gtraces_v2_tango_0003,17514539,3495709,0,0,32011971,2333799,1910429,934701,4426349,1289116,5102467,1939534,1268132,1028770,2636090,2174994,0.51
gtraces_v2_tango_0004,16994349,3056995,0,0,31484274,2149590,1761766,859680,3948858,1122469,4784007,1755039,1102078,852619,2401609,1971445,0.56
gtraces_v2_yankee_0000,13354924,2942532,0,0,34523484,2205068,2202962,1330431,3961952,2003307,7534840,2373563,1978218,1501462,2775344,2161615,0.45
gtraces_v2_yankee_0001,13251090,2631743,0,0,34365874,2123444,2182471,1314450,3678209,1917893,7429116,2342454,1890928,1470581,2794676,2152324,0.46
gtraces_v2_yankee_0002,14822136,2107044,0,0,32687558,1748228,1978408,1118713,2969435,1482774,6262121,1768170,1463453,1103447,2129949,1605112,0.57
gtraces_v2_yankee_0003,13243178,2877683,0,0,34639716,2155568,2192643,1327785,3887714,2002038,7480364,2320193,1978358,1409562,2782393,2052859,0.47
gtraces_v2_yankee_0004,13317276,2701991,0,0,34603619,2194058,2263970,1377131,3787114,1964399,7852011,2442879,1936597,1436299,2839248,2139642,0.46
