Filename,L1D_LOAD_Access,L1D_LOAD_MissRate(%),L1D_PREFETCH_Access,L1D_PREFETCH_MissRate(%),L2C_LOAD_Access,L2C_LOAD_MissRate(%),L2C_PREFETCH_Access,L2C_PREFETCH_MissRate(%),LLC_LOAD_Access,LLC_LOAD_MissRate(%),LLC_PREFETCH_Access,LLC_PREFETCH_MissRate(%),IPC
Graph_GAP_bc-0,51140249,37.65,0,0.00,17585720,52.78,0,0.00,9281840,60.38,0,0.00,0.20
Graph_GAP_bc-12,53787307,33.70,0,0.00,17226510,55.85,0,0.00,9620240,59.52,0,0.00,0.19
Graph_GAP_bfs-10,41661408,21.58,0,0.00,5054328,62.01,0,0.00,3134123,92.54,0,0.00,0.26
Graph_GAP_bfs-14,40122728,21.94,0,0.00,4559956,67.77,0,0.00,3090163,89.81,0,0.00,0.28
Graph_GAP_cc-13,54002294,34.98,0,0.00,15265919,30.93,0,0.00,4722367,41.96,0,0.00,0.35
Graph_GAP_cc-14,53015379,36.35,0,0.00,14881523,31.04,0,0.00,4619472,41.96,0,0.00,0.39
Graph_GAP_cc-5,52075194,37.65,0,0.00,14628119,30.85,0,0.00,4512083,42.13,0,0.00,0.44
Graph_GAP_sssp-10,51185312,34.88,0,0.00,10375315,41.07,0,0.00,4260892,50.96,0,0.00,0.54
Graph_GAP_sssp-14,51425941,34.90,0,0.00,10363075,41.23,0,0.00,4272195,50.71,0,0.00,0.53
Graph_GMS_gms.k_clique_count_set_based.soc-pokec-relationships.slice-4,25197537,8.95,0,0.00,524663,100.00,0,0.00,524663,100.00,0,0.00,1.99
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367,39327722,13.88,0,0.00,3872107,26.35,0,0.00,1020135,66.31,0,0.00,1.13
Graph_GMS_gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80,38118718,15.60,0,0.00,4074938,29.50,0,0.00,1201950,65.91,0,0.00,1.10
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-236,45737110,5.46,0,0.00,1597649,43.08,0,0.00,688233,60.60,0,0.00,1.01
