Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 25327819             0       0           0            12300504       4280366       0           0             2783539        650319        10132292    4446923      239768         73038         3443337     1584806     1.99
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M 29713258            39       0           0            26918961       6496488       0           0             5677242       1086816        14038218    4242332      864065        602955         6562173     4505692     1.06
       Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M  4629706            77       0           0            32606850       4534314       0           0             1912037        753303         8620026    4336589      266013        189339         3496915     2339017     1.05
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M  6399680             0       0           0            45725784      13909981       0           0            11584223        706505        23126035    3405293      682528        363314         6693715     3596607     0.92
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 14812465           113       0           0            39000154      10473412       0           0             7277472       5161905        13123269    7204869     4932997       4717242        14734706    13249969     0.29
           Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M  3513201            46       0           0            45679694       8579377       0           0             6943242       1275225        15696595    3511986     1266234        667904         7892778     3898795     0.70
                                                                   SPEC17_602.gcc_s-1850B 11866149             0       0           0            34403806       8364518       0           0             4821332        192063        19713191    5692284       80230         72503         6947568     3856685     1.18
                                                                    SPEC17_602.gcc_s-734B 37018473            93       0           0            28096082       6656674       0           0             3564257        122032        17465975    2640018       79125         66275         3695949     2150436     1.75
                                                                SPEC17_603.bwaves_s-1740B 17943605             0       0           0            50455796       4053165       0           0             3900918        983694         7898541    3467295      831371        148772         6458487     3859018     2.28
                                                                 SPEC17_603.bwaves_s-891B       16             7       0           0            33451500      11348818       0           0             3861089        276706        19850419    5747137      165993        165484         7433332     4311952     1.63
                                                                   SPEC17_605.mcf_s-1536B 37656681             0       0           0            32377686      14122111       0           0            10534518        701485        20810540    4987967      701315        350425         8942429     6138288     0.84
                                                                   SPEC17_605.mcf_s-1554B 34899126             0       0           0            75639255      34441681       0           0            30754212      13274961        69461236   40479506     9617543       2397169        72961876    23840583     0.63
                                                                   SPEC17_605.mcf_s-1644B 16969193             0       0           0            47564903      10246931       0           0             9242662       1606160        22672227    8365539     1301295        458342        12303169     6693066     0.23
                                                                    SPEC17_605.mcf_s-472B 33937709             6       0           0            52917179      11428600       0           0            10035719       5149859        29970886   19257101     3273802       2144894        24413241    17390840     0.69
                                                                    SPEC17_605.mcf_s-484B 32447582             0       0           0            47450157       5451596       0           0             4926797       1981474        15894070    8282632     1509621        895588        12797948     9280656     0.79
                                                             SPEC17_607.cactuBSSN_s-2421B 34988018          1081       0           0            31885328      22428776       0           0            21528290         41996        14882713    1494044       41810         28839         4760889     1598788     2.88
                                                                   SPEC17_619.lbm_s-2676B 34256697             0       0           0             7526419       1599956       0           0             1332532        169821         4119168    1452356      121999         60027         2500190     1468618     1.10
                                                                   SPEC17_619.lbm_s-2677B 33528311             0       0           0             7934735       2638607       0           0             2396074        513083         6739075    2741779      316941        162955         4397988     2745717     0.61
                                                                SPEC17_620.omnetpp_s-874B  6095048            80       0           0            38803469       4060687       0           0             3283996       1356898         3481997    1586214     1319008        943681         3523256     2941637     0.57
                                                                   SPEC17_621.wrf_s-6673B 30342541          5890       0           0            30758618       4132862       0           0             2900469        424181        10411356    2852789      215949        117496         3345170     1820699     2.21
                                                               SPEC17_623.xalancbmk_s-10B 24547590          4028       0           0            42468039      10087065       0           0             5246715       3598015         6185928    4321643     3290788       1873541         9371416     5737712     0.66
                                                             SPEC17_649.fotonik3d_s-1176B 30146515             0       0           0            30935468       5321532       0           0             2643685        200485        11690081    2667445       98179         56150         3316177     2025430     3.21
                                                             SPEC17_649.fotonik3d_s-7084B 31765577             0       0           0            32865711       3377181       0           0             3275118         82607        15639200    3645521       66068         56538         6767265     3602646     2.69
                                                                   SPEC17_654.roms_s-293B 36059612           195       0           0            43272940       2411967       0           0             2123539         78705         9484111    1879858       58337         56599         3117349     1805062     2.67
                                                                   SPEC17_654.roms_s-294B 35189216             0       0           0            49747028       3036551       0           0             2582584        113015        10708075    2582245       82359         81748         4355437     2618517     2.51
                                                                   SPEC17_654.roms_s-523B 33509240            34       0           0            39860031       5396043       0           0             3184767        352779        15304872    5297207      148319        138142         6331007     3808750     1.66
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.1 22556482             0       0           0            48733728       2758900       0           0             2319390       1087845         5591599    2576593      747994        275450         1605294      860573     3.22
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.2 28315580           128       0           0            51938006      12827840       0           0            12272837       1197411        13271374    1853521      757139        335282         2022271     1165221     3.08
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.4 31435576            58       0           0            53044001      14387645       0           0            14003693       1188363        17154626    3017167      691171        349836         2127419     1421628     2.64
