Summary for 1C.fullBW.berti_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
           Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M 39139252         43.70                  5778378              57.58                    16874055         16.46                  26640410            16.21                     2758386          51.84                 10093864             50.85                     1.18
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 15460903         19.27                  1650680              59.04                     1973832         16.78                  10862143            43.29                      128983          41.77                  3565147             48.21                     1.95
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M 26711681         20.01                  2591726              75.22                     4616969         25.17                  18012198            35.00                      870478          68.80                  6868225             67.07                     1.06
       Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M 32653582          5.16                  1307889              77.16                     1072799         49.98                   9233965            46.01                      220106          75.02                  3542867             69.96                     1.07
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M 44067295         22.89                  6867160              66.03                     9502841          6.38                  28953986            11.97                      602047          46.43                  7104358             52.97                     0.98
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 38896526         20.82                  2262011              87.82                     6100349         83.61                  15940195            55.89                     4895921          95.27                 16560523             91.21                     0.29
           Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 45131657         11.56                  3047550              91.61                     4914518         24.96                  14739337            25.03                     1223814          42.57                  8899306             45.46                     0.77
                                                                   SPEC17_602.gcc_s-1850B 34679132          4.12                  5034686              84.40                      729266         13.77                  24547179            29.91                       96030          68.14                  6978814             59.30                     1.39
                                                                    SPEC17_602.gcc_s-734B 29261005          2.51                  3432349              96.36                      375766         21.25                  17529669            16.26                       75566          79.81                  3889597             64.78                     2.01
                                                                SPEC17_603.bwaves_s-1740B 47791247          2.75                  2960007              91.30                     1234613         13.39                  14608543            30.42                      114579          78.83                  7175279             57.26                     2.50
                                                                 SPEC17_603.bwaves_s-891B 33768551          5.05                  3812386              99.61                      174625         95.25                  23515676            28.59                      165906          99.77                  7433282             63.57                     1.67
                                                                   SPEC17_605.mcf_s-1536B 32022548         39.99                  3822599              92.11                     9081906          9.41                  30581896            16.41                      852521          46.47                 11277295             62.42                     0.79
                                                                   SPEC17_605.mcf_s-1554B 72572176         22.45                 24833385              96.18                    10582544         62.71                  97346444            56.81                     5487775          33.00                 81829060             33.50                     0.68
                                                                   SPEC17_605.mcf_s-1644B 46368053          9.22                  8237422              97.28                     3929887         22.55                  36432906            28.08                      878955          36.01                 15878110             50.70                     0.22
                                                                    SPEC17_605.mcf_s-472B 51403889         13.09                  8692162              89.74                     4533754         65.19                  36830126            59.91                     2107662          71.43                 26618679             71.44                     0.74
                                                                    SPEC17_605.mcf_s-484B 46532822          6.06                  4612697              83.61                     2137400         50.03                  20524101            48.88                      851447          66.36                 14043571             72.82                     0.85
                                                             SPEC17_607.cactuBSSN_s-2421B 31352103         70.40                  6290922              39.32                    21340321          0.17                  19094473             7.87                       36907          72.11                  4432416             36.70                     2.74
                                                                   SPEC17_619.lbm_s-2676B  7099877          6.41                  1108279              88.20                      388825         27.88                   5927024            25.86                       75944          74.77                  2546091             63.97                     1.10
                                                                   SPEC17_619.lbm_s-2677B  7631624         21.60                  1477141              66.23                     1538872         24.23                   8173608            34.24                      221628          69.77                  4492779             66.23                     0.61
                                                                SPEC17_620.omnetpp_s-874B 38691487          9.32                  4132565              38.08                     2923521         40.53                   7497384            47.02                     1162416          75.74                  6241647             80.97                     0.55
                                                                   SPEC17_621.wrf_s-6673B 29435182          3.98                  2688878              87.62                      724003         25.56                  12366200            23.18                      150590          62.94                  3541276             57.14                     2.28
                                                               SPEC17_623.xalancbmk_s-10B 42076978         20.82                  4353426              81.72                     4505735         73.46                  18853087            67.07                     2992125          74.49                 19492987             77.51                     0.60
                                                             SPEC17_649.fotonik3d_s-1176B 28362288          2.22                  2598106              99.11                      107452         50.62                  16090708            24.95                       53228          99.97                  3374942             63.90                     3.33
                                                             SPEC17_649.fotonik3d_s-7084B 31331019          1.39                  3350926              91.19                      329196         13.87                  19749844            19.37                       42486          87.97                  6806392             53.92                     2.70
                                                                   SPEC17_654.roms_s-293B 41359166          0.98                  2504879              78.75                      202148         18.24                  12341742            17.70                       35346          97.53                  3206824             59.72                     2.78
                                                                   SPEC17_654.roms_s-294B 49081275          0.74                  3314709              77.49                       91862         56.08                  15011045            20.05                       50132          99.90                  4458157             62.36                     2.57
