Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
gtraces_v2_sierra.a.3_0004,20270928,379612,0,0,35560902,3274086,3056750,1480272,2869407,789420,9225342,2811672,728627,615511,3104687,2581755,0.60
gtraces_v2_sierra.a.4_0000,21230189,784782,0,0,35910513,3560435,3008500,1627566,3411303,1171701,10689997,3698571,1057957,912242,3932790,3321619,0.51
gtraces_v2_sierra.a.4_0001,21967642,894389,0,0,37142849,4008860,3107090,1715869,3866283,1348381,11373816,4078263,1224480,1044459,4440800,3733569,0.45
gtraces_v2_sierra.a.4_0002,22715210,1024820,0,0,34559657,3565706,2547873,1435354,3647502,1274251,10051874,3799708,1176696,1002047,4024435,3375473,0.46
gtraces_v2_sierra.a.4_0003,19836033,821060,0,0,33916514,3241100,2471278,1368813,3089135,1139078,9472373,3689811,1045154,910503,3954927,3341251,0.51
gtraces_v2_sierra.a.4_0004,20268022,602472,0,0,32967098,3502993,2654094,1701778,3124547,1124723,10917977,4926460,1007606,864019,5374412,4593608,0.53
gtraces_v2_sierra.a.6_0000,22580341,188088,0,0,34468006,3409908,2506878,1323219,2833193,785190,7643972,2437684,751021,635221,2937003,2465320,0.59
gtraces_v2_sierra.a.6_0001,20824210,200500,0,0,33436237,3854473,3160779,2063235,3104483,999903,11361090,5413436,907517,755633,5872154,4987172,0.56
gtraces_v2_sierra.a.6_0002,22677369,259559,0,0,34284331,3310111,2403978,1294851,2805801,841509,7732514,2652875,800843,683398,3080167,2624204,0.57
gtraces_v2_sierra.a.6_0003,22051896,296799,0,0,34358925,3676128,2812560,1647086,3094663,959137,9542000,3896426,891944,763434,4332292,3707190,0.54
gtraces_v2_sierra.a.6_0004,22338166,204484,0,0,34842662,3467658,2531763,1338087,2899036,794778,7786096,2519396,757320,636129,2987783,2503188,0.58
gtraces_v2_tahoe_0000,12755316,185304,0,0,36300575,1772853,1475121,844637,1435332,610856,5163112,2291614,566471,494133,2554527,2150573,0.73
gtraces_v2_tahoe_0001,15579048,328996,0,0,34964052,2424111,1925909,1145725,1990236,897881,7289345,3473178,813192,730575,3464685,3035623,0.61
gtraces_v2_tahoe_0002,9276743,5737,0,0,31364481,2550699,1830477,1256834,1686823,651524,6618130,2735083,611124,528205,3531180,2701291,0.78
gtraces_v2_tahoe_0003,15631741,425667,0,0,34707222,2278578,1992541,1103481,2042951,811225,7101654,3048971,726782,632063,3122625,2672164,0.61
gtraces_v2_tahoe_0004,11914236,231499,0,0,36840258,1764882,1474679,843516,1437898,602023,5212212,2343488,549285,488891,2378044,2073096,0.72
gtraces_v2_tango_0000,17139081,38895,0,0,32056685,2217452,1946677,935040,1667979,495918,5270649,1718491,476215,409755,2213043,1892087,0.69
gtraces_v2_tango_0001,18151434,13688,0,0,29529501,2042995,1620673,835362,1416960,551449,5037633,1733491,536435,473562,2221026,1917588,0.78
gtraces_v2_tango_0002,16391736,23135,0,0,32451740,2226027,2099851,1028940,1652789,475025,5867574,1785008,455397,381998,2330487,1911250,0.71
gtraces_v2_tango_0003,17409590,17412,0,0,31749991,2346811,1908444,936058,1715264,563994,5248943,1858104,541591,460291,2466600,2111145,0.67
gtraces_v2_tango_0004,16903359,20894,0,0,31264013,2161117,1768648,862034,1574525,499625,4891778,1696911,480922,381622,2252847,1945070,0.72
gtraces_v2_yankee_0000,13305683,427389,0,0,34160365,2229403,2199467,1330635,2034723,722575,8133229,2741249,667224,522270,3002809,2372616,0.66
gtraces_v2_yankee_0001,13218164,393430,0,0,34025343,2148702,2192657,1317821,1937518,686368,8066607,2665662,634172,498940,2999246,2356659,0.68
gtraces_v2_yankee_0002,14777345,293127,0,0,32421504,1768982,1979080,1114975,1569123,517900,6599010,1983341,478169,361802,2258154,1772220,0.83
gtraces_v2_yankee_0003,13197351,435757,0,0,34281989,2177701,2193933,1327762,2006514,705385,8295545,2727022,648870,464579,2983092,2288949,0.69
gtraces_v2_yankee_0004,13292019,339199,0,0,34242150,2218421,2261357,1373286,1947388,672262,8402407,2722720,623744,465448,3003767,2323103,0.69
