Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.448,200000005,138086532,SUCCESS,2098.32
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.9863,200000000,202771263,SUCCESS,2122.14
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.488,200000007,80399050,SUCCESS,2120.80
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8916,200000000,224327580,SUCCESS,2156.59
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.084,200000001,184453892,SUCCESS,2170.19
SPEC17,654.roms_s-523B.champsimtrace.xz,1.637,200000002,122186168,SUCCESS,2175.01
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7617,200000000,262586075,SUCCESS,2260.88
gtraces_v2,charlie_0004.champsim.gz,0.9694,200000004,206311859,SUCCESS,2252.42
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.066,200000002,187555078,SUCCESS,2271.94
Graph/GAP,bfs-14.trace.gz,0.8076,200000001,247639436,SUCCESS,2273.31
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.211,200000000,90476064,SUCCESS,2286.38
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,0.9675,200000003,206725358,SUCCESS,2336.43
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.722,200000003,116134118,SUCCESS,2345.95
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.8462,200000002,236349892,SUCCESS,2361.81
gtraces_v2,charlie_0002.champsim.gz,0.8574,200000006,233256818,SUCCESS,2532.46
Graph/GAP,bfs-10.trace.gz,0.6909,200000001,289474907,SUCCESS,2538.66
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,0.9423,200000000,212255281,SUCCESS,2563.20
gtraces_v2,merced_0000.champsim.gz,0.7347,200000001,272216316,SUCCESS,2560.32
gtraces_v2,yankee_0002.champsim.gz,0.7081,200000004,282449050,SUCCESS,2653.74
gtraces_v2,charlie_0003.champsim.gz,0.7627,200000007,262209155,SUCCESS,2686.53
gtraces_v2,tahoe_0002.champsim.gz,0.7302,200000000,273884185,SUCCESS,2736.86
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.041,200000000,192067906,SUCCESS,2791.41
gtraces_v2,merced_0004.champsim.gz,0.6496,200000001,307895358,SUCCESS,2789.00
gtraces_v2,tahoe_0004.champsim.gz,0.6341,200000003,315413252,SUCCESS,2814.29
gtraces_v2,merced_0002.champsim.gz,0.6148,200000003,325327282,SUCCESS,2895.45
gtraces_v2,tahoe_0000.champsim.gz,0.6308,200000001,317046112,SUCCESS,2921.65
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.5739,200000004,348502951,SUCCESS,2937.08
gtraces_v2,tango_0001.champsim.gz,0.6567,200000000,304563637,SUCCESS,2985.50
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5628,200000000,355382271,SUCCESS,3021.18
gtraces_v2,yankee_0003.champsim.gz,0.5771,200000002,346567794,SUCCESS,3049.51
gtraces_v2,yankee_0001.champsim.gz,0.5755,200000000,347524113,SUCCESS,3062.62
gtraces_v2,yankee_0000.champsim.gz,0.5633,200000007,355023382,SUCCESS,3067.29
gtraces_v2,tango_0002.champsim.gz,0.5884,200000000,339895865,SUCCESS,3084.10
gtraces_v2,yankee_0004.champsim.gz,0.5694,200000004,351237582,SUCCESS,3083.86
gtraces_v2,merced_0003.champsim.gz,0.5755,200000007,347519946,SUCCESS,3094.12
gtraces_v2,tango_0004.champsim.gz,0.5915,200000000,338112914,SUCCESS,3109.07
gtraces_v2,tango_0000.champsim.gz,0.5757,200000000,347404327,SUCCESS,3123.97
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,0.9347,200000006,213973823,SUCCESS,3138.23
gtraces_v2,merced_0001.champsim.gz,0.577,200000001,346649470,SUCCESS,3155.42
gtraces_v2,sierra.a.3_0001.champsim.gz,0.5295,200000001,377686627,SUCCESS,3245.68
gtraces_v2,tahoe_0001.champsim.gz,0.5249,200000000,381019167,SUCCESS,3309.08
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.097,200000003,182337721,SUCCESS,3320.67
gtraces_v2,sierra.a.3_0002.champsim.gz,0.513,200000000,389871339,SUCCESS,3369.02
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.8073,200000001,247751654,SUCCESS,3405.56
gtraces_v2,tahoe_0003.champsim.gz,0.5194,200000006,385093732,SUCCESS,3407.97
gtraces_v2,sierra.a.3_0003.champsim.gz,0.511,200000004,391365475,SUCCESS,3418.55
gtraces_v2,tango_0003.champsim.gz,0.541,200000000,369695974,SUCCESS,3448.15
gtraces_v2,sierra.a.3_0004.champsim.gz,0.4953,200000000,403818957,SUCCESS,3465.58
gtraces_v2,sierra.a.6_0000.champsim.gz,0.4938,200000000,405004919,SUCCESS,3493.06
SPEC17,620.omnetpp_s-874B.champsimtrace.xz,0.5304,200000007,377080173,SUCCESS,3560.10
gtraces_v2,sierra.a.6_0004.champsim.gz,0.4703,200000002,425234091,SUCCESS,3619.76
gtraces_v2,sierra.a.6_0002.champsim.gz,0.4613,200000002,433518792,SUCCESS,3635.44
Graph/GAP,sssp-10.trace.gz,0.5956,200000004,335773255,SUCCESS,3660.67
gtraces_v2,sierra.a.4_0004.champsim.gz,0.4657,200000000,429503711,SUCCESS,3658.15
gtraces_v2,sierra.a.6_0001.champsim.gz,0.4586,200000005,436155459,SUCCESS,3659.72
Graph/GAP,sssp-14.trace.gz,0.5956,200000007,335779125,SUCCESS,3683.26
SPEC17,623.xalancbmk_s-10B.champsimtrace.xz,0.6248,200000002,320115274,SUCCESS,3698.32
gtraces_v2,sierra.a.6_0003.champsim.gz,0.444,200000001,450421673,SUCCESS,3733.43
gtraces_v2,sierra.a.4_0003.champsim.gz,0.4441,200000004,450338545,SUCCESS,3749.03
gtraces_v2,sierra.a.3_0000.champsim.gz,0.4348,200000006,460015621,SUCCESS,3762.36
gtraces_v2,sierra.a.4_0000.champsim.gz,0.4457,200000001,448716922,SUCCESS,3779.68
SPEC17,605.mcf_s-472B.champsimtrace.xz,0.7126,200000001,280667644,SUCCESS,3802.53
Graph/GAP,cc-5.trace.gz,0.4575,200000000,437188899,SUCCESS,3951.16
gtraces_v2,sierra.a.4_0002.champsim.gz,0.3934,200000001,508411262,SUCCESS,4053.44
gtraces_v2,sierra.a.4_0001.champsim.gz,0.3796,200000000,526937322,SUCCESS,4164.30
SPEC17,605.mcf_s-1536B.champsimtrace.xz,0.7194,200000006,278001417,SUCCESS,4215.56
ai-ml,rwkv_trace_2.champsimtrace.gz,0.6814,200000000,293523072,SUCCESS,4314.16
SPEC17,605.mcf_s-1554B.champsimtrace.xz,0.6263,200000001,319352880,SUCCESS,4331.33
Graph/GAP,cc-14.trace.gz,0.3869,200000000,516993655,SUCCESS,4353.62
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M.champsimtrace.xz,0.3941,200000000,507511432,SUCCESS,4590.64
ai-ml,biogpt.cpp-ggml-model-tocilizumab.1.champsimtrace.gz,0.5787,200000001,345574221,SUCCESS,4698.93
ai-ml,biogpt.cpp-ggml-model-tocilizumab.2.champsimtrace.gz,0.5914,200000004,338190118,SUCCESS,4735.40
ai-ml,biogpt.cpp-ggml-model-tocilizumab.3.champsimtrace.gz,0.593,200000003,337240819,SUCCESS,4775.55
Graph/GAP,cc-13.trace.gz,0.3385,200000002,590884312,SUCCESS,4864.59
SPEC17,619.lbm_s-2677B.champsimtrace.xz,0.6139,200000005,325799144,SUCCESS,5085.25
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.2469,200000001,810123025,SUCCESS,6906.99
Graph/GAP,bc-0.trace.gz,0.2089,200000000,957273752,SUCCESS,7622.46
Graph/GAP,bc-12.trace.gz,0.1931,200000004,1035761377,SUCCESS,8218.22
SPEC17,605.mcf_s-1644B.champsimtrace.xz,0.2234,200000000,895255670,SUCCESS,8652.33
ai-ml,rwkv_trace_1.champsimtrace.gz,0.117,200000002,1709860490,SUCCESS,22883.72
