Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,2.156,200000006,92750579,SUCCESS,2212.83
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7741,200000002,258353493,SUCCESS,2931.95
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.091,200000001,183348173,SUCCESS,2955.01
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.3.champsimtrace.gz,2.613,200000001,76528967,SUCCESS,2520.29
Graph/GAP,bfs-10.trace.gz,0.7174,200000001,278798527,SUCCESS,3053.96
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.068,200000006,187326177,SUCCESS,3084.77
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.575,200000000,347831122,SUCCESS,3124.37
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.5839,200000004,342548742,SUCCESS,3216.82
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.821,200000002,109808113,SUCCESS,2755.64
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.776,200000005,112625560,SUCCESS,1246.68
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.34,200000003,59885870,SUCCESS,1314.54
gtraces_v2,charlie_0001.champsim.gz,1.188,200000006,168313765,SUCCESS,2293.55
Graph/GAP,sssp-10.trace.gz,0.6536,200000004,305977589,SUCCESS,3445.21
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.489,200000007,80364912,SUCCESS,1502.31
gtraces_v2,charlie_0000.champsim.gz,1.266,200000002,157971203,SUCCESS,1767.23
gtraces_v2,arizona_0001.champsim.gz,1.685,200000000,118723654,SUCCESS,1687.80
SPEC17,654.roms_s-293B.champsimtrace.xz,2.756,200000003,72563733,SUCCESS,1561.43
SPEC17,654.roms_s-294B.champsimtrace.xz,2.502,200000007,79920787,SUCCESS,1555.60
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.278,200000001,87793180,SUCCESS,1554.40
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.282,200000000,87656254,SUCCESS,2929.87
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.52,200000001,79380425,SUCCESS,1727.46
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.041,200000001,97991136,SUCCESS,1735.41
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.413,200000000,141584370,SUCCESS,1739.35
gtraces_v2,charlie_0002.champsim.gz,0.791,200000005,252858671,SUCCESS,2919.07
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.86,200000005,69920790,SUCCESS,1871.47
Graph/GAP,sssp-14.trace.gz,0.6502,200000007,307616424,SUCCESS,3987.01
gtraces_v2,merced_0004.champsim.gz,0.5513,200000001,362797063,SUCCESS,3053.69
gtraces_v2,tango_0002.champsim.gz,0.5529,200000000,361706936,SUCCESS,3078.32
SPEC17,654.roms_s-523B.champsimtrace.xz,1.682,200000007,118897989,SUCCESS,2097.02
Graph/GAP,cc-14.trace.gz,0.434,200000000,460812916,SUCCESS,4030.32
gtraces_v2,charlie_0004.champsim.gz,0.9044,200000004,221132449,SUCCESS,2245.04
gtraces_v2,charlie_0003.champsim.gz,0.7109,200000007,281339759,SUCCESS,2994.90
gtraces_v2,merced_0000.champsim.gz,0.6565,200000001,304654884,SUCCESS,2675.99
gtraces_v2,tango_0003.champsim.gz,0.503,200000000,397633970,SUCCESS,3306.51
Graph/GAP,cc-13.trace.gz,0.3816,200000002,524166936,SUCCESS,4252.25
gtraces_v2,yankee_0002.champsim.gz,0.558,200000000,358396203,SUCCESS,3012.89
Graph/GAP,cc-5.trace.gz,0.5033,200000001,397347152,SUCCESS,4088.18
gtraces_v2,tahoe_0000.champsim.gz,0.5445,200000001,367285975,SUCCESS,3318.56
gtraces_v2,tango_0001.champsim.gz,0.6258,200000000,319586251,SUCCESS,2939.08
gtraces_v2,tahoe_0002.champsim.gz,0.7316,200000001,273361829,SUCCESS,2611.50
gtraces_v2,tahoe_0001.champsim.gz,0.4493,200000000,445166108,SUCCESS,3500.54
gtraces_v2,yankee_0004.champsim.gz,0.4459,200000004,448495845,SUCCESS,3377.78
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M.champsimtrace.xz,0.4229,200000000,472917444,SUCCESS,4627.56
gtraces_v2,tango_0004.champsim.gz,0.5461,200000000,366261161,SUCCESS,3072.56
gtraces_v2,tahoe_0004.champsim.gz,0.5572,200000000,358954358,SUCCESS,2821.40
gtraces_v2,tango_0000.champsim.gz,0.5285,200000000,378411231,SUCCESS,2933.72
gtraces_v2,merced_0002.champsim.gz,0.5083,200000006,393502523,SUCCESS,2981.96
gtraces_v2,sierra.a.6_0004.champsim.gz,0.4131,200000002,484163216,SUCCESS,3664.55
gtraces_v2,merced_0003.champsim.gz,0.489,200000005,409013828,SUCCESS,3293.48
gtraces_v2,merced_0001.champsim.gz,0.493,200000001,405701986,SUCCESS,3140.28
gtraces_v2,yankee_0003.champsim.gz,0.4574,200000002,437284741,SUCCESS,3225.59
gtraces_v2,yankee_0001.champsim.gz,0.4454,200000000,449078653,SUCCESS,3471.49
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.8249,200000007,242462987,SUCCESS,3153.48
gtraces_v2,sierra.a.4_0004.champsim.gz,0.3878,200000000,515763830,SUCCESS,3916.72
SPEC17,620.omnetpp_s-874B.champsimtrace.xz,0.5506,200000007,363233878,SUCCESS,3148.10
gtraces_v2,sierra.a.6_0001.champsim.gz,0.4096,200000003,488336345,SUCCESS,3642.67
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.115,200000007,179407145,SUCCESS,3089.60
gtraces_v2,yankee_0000.champsim.gz,0.4411,200000002,453451347,SUCCESS,3416.42
gtraces_v2,tahoe_0003.champsim.gz,0.4453,200000000,449086867,SUCCESS,3234.68
gtraces_v2,sierra.a.3_0001.champsim.gz,0.4418,200000002,452678921,SUCCESS,3321.06
gtraces_v2,sierra.a.3_0003.champsim.gz,0.4296,200000004,465505298,SUCCESS,3550.60
gtraces_v2,sierra.a.3_0002.champsim.gz,0.4299,200000000,465277299,SUCCESS,3429.20
gtraces_v2,sierra.a.6_0002.champsim.gz,0.3989,200000006,501419075,SUCCESS,3792.56
gtraces_v2,sierra.a.3_0004.champsim.gz,0.4174,200000001,479131037,SUCCESS,3546.34
gtraces_v2,sierra.a.4_0003.champsim.gz,0.3525,200000007,567323477,SUCCESS,4359.32
gtraces_v2,sierra.a.6_0000.champsim.gz,0.4341,200000000,460700452,SUCCESS,3410.22
SPEC17,605.mcf_s-1536B.champsimtrace.xz,0.9445,200000005,211753938,SUCCESS,3380.43
ai-ml,biogpt.cpp-ggml-model-tocilizumab.3.champsimtrace.gz,0.611,200000005,327323834,SUCCESS,5105.80
gtraces_v2,sierra.a.4_0000.champsim.gz,0.3556,200000001,562370870,SUCCESS,4071.85
