Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7734,200000000,258604085,SUCCESS,2214.34
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.055,200000001,189585318,SUCCESS,2234.02
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.067,200000002,187392814,SUCCESS,2251.68
gtraces_v2,arizona_0001.champsim.gz,1.731,200000001,115521358,SUCCESS,1630.65
Graph/GAP,bfs-14.trace.gz,0.7841,200000001,255056311,SUCCESS,2322.19
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.799,200000003,111199322,SUCCESS,2350.01
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7722,200000003,258986007,SUCCESS,2382.10
Graph/GAP,bfs-10.trace.gz,0.7285,200000001,274540720,SUCCESS,2407.06
SPEC17,649.fotonik3d_s-1176B.champsimtrace.xz,3.332,200000004,60031430,SUCCESS,1203.17
gtraces_v2,charlie_0002.champsim.gz,0.8703,200000003,229792969,SUCCESS,2462.24
gtraces_v2,yankee_0002.champsim.gz,0.7279,200000000,274769349,SUCCESS,2491.12
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.18,200000000,169481781,SUCCESS,2504.94
SPEC17,603.bwaves_s-891B.champsimtrace.xz,1.674,200000006,119476109,SUCCESS,1211.25
SPEC17,654.roms_s-293B.champsimtrace.xz,2.78,200000004,71934344,SUCCESS,1386.43
gtraces_v2,charlie_0003.champsim.gz,0.7961,200000007,251234888,SUCCESS,2538.09
SPEC17,603.bwaves_s-1740B.champsimtrace.xz,2.501,200000005,79964888,SUCCESS,1427.03
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,2.696,200000003,74177703,SUCCESS,1476.07
SPEC17,654.roms_s-294B.champsimtrace.xz,2.574,200000006,77693308,SUCCESS,1411.86
gtraces_v2,merced_0000.champsim.gz,0.7642,200000001,261708592,SUCCESS,2401.39
gtraces_v2,merced_0004.champsim.gz,0.6617,200000001,302256350,SUCCESS,2694.09
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.056,200000003,189307589,SUCCESS,2703.30
SPEC17,621.wrf_s-6673B.champsimtrace.xz,2.276,200000001,87861573,SUCCESS,1405.11
gtraces_v2,tahoe_0000.champsim.gz,0.6522,200000001,306676613,SUCCESS,2720.68
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.58,200000004,344819735,SUCCESS,2795.13
gtraces_v2,tango_0001.champsim.gz,0.6903,200000000,289719688,SUCCESS,2778.00
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5713,200000000,350062507,SUCCESS,2870.20
SPEC17,602.gcc_s-1850B.champsimtrace.xz,1.388,200000000,144089259,SUCCESS,1563.77
gtraces_v2,tango_0002.champsim.gz,0.624,200000000,320519444,SUCCESS,2870.42
SPEC17,602.gcc_s-734B.champsimtrace.xz,2.012,200000003,99405017,SUCCESS,1563.35
gtraces_v2,yankee_0004.champsim.gz,0.588,200000004,340115210,SUCCESS,2878.99
gtraces_v2,charlie_0004.champsim.gz,0.993,200000004,201405709,SUCCESS,1998.06
gtraces_v2,tahoe_0002.champsim.gz,0.7568,200000000,264266156,SUCCESS,2563.90
SPEC17,607.cactuBSSN_s-2421B.champsimtrace.xz,2.744,200000005,72896419,SUCCESS,1773.67
gtraces_v2,tango_0004.champsim.gz,0.6285,200000000,318237698,SUCCESS,2813.84
gtraces_v2,yankee_0001.champsim.gz,0.5964,200000000,335371609,SUCCESS,2826.80
gtraces_v2,tango_0003.champsim.gz,0.5695,200000000,351154545,SUCCESS,3074.61
SPEC17,654.roms_s-523B.champsimtrace.xz,1.68,200000004,119029087,SUCCESS,1972.69
gtraces_v2,tahoe_0001.champsim.gz,0.5448,200000000,367092827,SUCCESS,3106.32
Graph/GAP,sssp-10.trace.gz,0.6549,200000004,305377708,SUCCESS,3116.77
gtraces_v2,merced_0003.champsim.gz,0.5847,200000006,342044312,SUCCESS,2905.92
Graph/GAP,sssp-14.trace.gz,0.6549,200000007,305381656,SUCCESS,3189.69
gtraces_v2,yankee_0000.champsim.gz,0.5839,200000007,342525704,SUCCESS,2841.48
gtraces_v2,yankee_0003.champsim.gz,0.5986,200000002,334138411,SUCCESS,2766.60
gtraces_v2,merced_0002.champsim.gz,0.6257,200000006,319646425,SUCCESS,2602.82
gtraces_v2,tahoe_0004.champsim.gz,0.6573,200000003,304288756,SUCCESS,2573.94
gtraces_v2,sierra.a.6_0004.champsim.gz,0.4799,200000002,416775838,SUCCESS,3423.24
gtraces_v2,sierra.a.6_0002.champsim.gz,0.4761,200000004,420052143,SUCCESS,3386.76
gtraces_v2,sierra.a.4_0004.champsim.gz,0.4766,200000000,419618294,SUCCESS,3446.17
Graph/GAP,cc-5.trace.gz,0.4973,200000002,402149064,SUCCESS,3475.36
gtraces_v2,merced_0001.champsim.gz,0.589,200000001,339534916,SUCCESS,2867.70
gtraces_v2,tango_0000.champsim.gz,0.6038,200000001,331229861,SUCCESS,2740.66
gtraces_v2,sierra.a.3_0003.champsim.gz,0.5207,200000004,384101006,SUCCESS,3199.82
gtraces_v2,sierra.a.4_0003.champsim.gz,0.4526,200000003,441912106,SUCCESS,3523.76
gtraces_v2,sierra.a.6_0001.champsim.gz,0.4713,200000005,424357305,SUCCESS,3458.29
gtraces_v2,sierra.a.3_0002.champsim.gz,0.5236,200000000,381952170,SUCCESS,3106.04
gtraces_v2,sierra.a.3_0001.champsim.gz,0.5416,200000002,369271935,SUCCESS,2956.48
gtraces_v2,sierra.a.4_0000.champsim.gz,0.4556,200000002,438996432,SUCCESS,3586.81
Graph/GAP,cc-14.trace.gz,0.4284,200000000,466817476,SUCCESS,3710.67
gtraces_v2,sierra.a.3_0004.champsim.gz,0.5054,200000000,395729656,SUCCESS,3404.13
gtraces_v2,tahoe_0003.champsim.gz,0.538,200000006,371744242,SUCCESS,2895.79
gtraces_v2,sierra.a.6_0003.champsim.gz,0.4559,200000001,438693297,SUCCESS,3397.60
gtraces_v2,sierra.a.6_0000.champsim.gz,0.502,200000000,398423429,SUCCESS,3129.57
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.8545,200000001,234048133,SUCCESS,2946.32
Graph/Ligra,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M.champsimtrace.xz,0.4243,200000000,471406890,SUCCESS,3977.42
gtraces_v2,sierra.a.4_0001.champsim.gz,0.3885,200000005,514789265,SUCCESS,3971.50
Graph/GAP,cc-13.trace.gz,0.3774,200000002,529965747,SUCCESS,3999.41
gtraces_v2,sierra.a.3_0000.champsim.gz,0.4426,200000006,451840130,SUCCESS,3529.22
ai-ml,rwkv_trace_2.champsimtrace.gz,0.6813,200000000,293540163,SUCCESS,4131.62
SPEC17,620.omnetpp_s-874B.champsimtrace.xz,0.5523,200000007,362150624,SUCCESS,3066.29
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.097,200000007,182238843,SUCCESS,2957.43
ai-ml,biogpt.cpp-ggml-model-tocilizumab.3.champsimtrace.gz,0.5935,200000005,337001764,SUCCESS,4517.91
SPEC17,605.mcf_s-472B.champsimtrace.xz,0.7404,200000000,270118143,SUCCESS,3357.84
gtraces_v2,sierra.a.4_0002.champsim.gz,0.4035,200000007,495702297,SUCCESS,3774.87
ai-ml,biogpt.cpp-ggml-model-tocilizumab.2.champsimtrace.gz,0.5969,200000004,335080360,SUCCESS,4574.32
SPEC17,605.mcf_s-1536B.champsimtrace.xz,0.7851,200000000,254748759,SUCCESS,3565.87
SPEC17,623.xalancbmk_s-10B.champsimtrace.xz,0.5964,200000005,335371045,SUCCESS,3488.67
ai-ml,biogpt.cpp-ggml-model-tocilizumab.1.champsimtrace.gz,0.5891,200000004,339494793,SUCCESS,4658.35
SPEC17,605.mcf_s-1554B.champsimtrace.xz,0.6752,200000005,296210414,SUCCESS,3756.45
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.2863,200000001,698459903,SUCCESS,5857.91
SPEC17,619.lbm_s-2677B.champsimtrace.xz,0.6134,200000000,326072294,SUCCESS,4663.16
Graph/GAP,bc-0.trace.gz,0.2092,200000000,956073042,SUCCESS,7156.19
Graph/GAP,bc-12.trace.gz,0.1898,200000004,1053733015,SUCCESS,7738.06
SPEC17,605.mcf_s-1644B.champsimtrace.xz,0.2239,200000004,893349571,SUCCESS,8312.19
ai-ml,rwkv_trace_1.champsimtrace.gz,0.1168,200000002,1712460441,SUCCESS,23232.46
