Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.2.champsimtrace.gz,2.615,200000001,76495024,SUCCESS,1870.75
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.2.champsimtrace.gz,2.548,200000002,78482386,SUCCESS,1914.16
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.88,200000002,106376411,SUCCESS,1990.98
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.084,200000002,184525779,SUCCESS,2014.45
SPEC17,654.roms_s-523B.champsimtrace.xz,1.706,200000003,117223172,SUCCESS,2017.62
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.005,200000003,199055351,SUCCESS,2036.53
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8963,200000000,223132185,SUCCESS,2035.94
gtraces_v2,charlie_0004.champsim.gz,0.9823,200000004,203594815,SUCCESS,2039.51
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.283,200000003,87599316,SUCCESS,2052.60
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,1.003,200000000,199438124,SUCCESS,2075.57
Graph/GAP,bfs-14.trace.gz,0.8071,200000001,247806584,SUCCESS,2078.23
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7544,200000000,265105074,SUCCESS,2093.47
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.084,200000001,184554007,SUCCESS,2119.33
Graph/GAP,bfs-10.trace.gz,0.7569,200000001,264232412,SUCCESS,2165.68
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.724,200000001,116037000,SUCCESS,2166.88
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.036,200000001,193088360,SUCCESS,2218.43
gtraces_v2,charlie_0002.champsim.gz,0.8673,200000006,230601282,SUCCESS,2273.76
gtraces_v2,merced_0000.champsim.gz,0.754,200000001,265264589,SUCCESS,2301.00
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.8745,200000002,228700295,SUCCESS,2318.78
gtraces_v2,yankee_0002.champsim.gz,0.7199,200000000,277797519,SUCCESS,2350.81
gtraces_v2,tahoe_0002.champsim.gz,0.7615,200000001,262644215,SUCCESS,2427.08
gtraces_v2,charlie_0003.champsim.gz,0.7884,200000007,253668047,SUCCESS,2465.15
gtraces_v2,merced_0004.champsim.gz,0.6519,200000001,306810705,SUCCESS,2523.22
gtraces_v2,tahoe_0004.champsim.gz,0.6467,200000002,309257583,SUCCESS,2526.79
gtraces_v2,tahoe_0000.champsim.gz,0.6362,200000001,314375919,SUCCESS,2584.78
gtraces_v2,tango_0001.champsim.gz,0.6754,200000002,296105442,SUCCESS,2618.46
gtraces_v2,merced_0002.champsim.gz,0.6213,200000006,321891697,SUCCESS,2626.14
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.026,200000006,195001932,SUCCESS,2658.92
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.5658,200000004,353510733,SUCCESS,2675.09
gtraces_v2,tango_0002.champsim.gz,0.6121,200000000,326729505,SUCCESS,2701.79
gtraces_v2,yankee_0001.champsim.gz,0.5879,200000000,340197666,SUCCESS,2738.15
gtraces_v2,yankee_0004.champsim.gz,0.581,200000005,344238113,SUCCESS,2743.72
gtraces_v2,yankee_0003.champsim.gz,0.5877,200000002,340305281,SUCCESS,2742.34
gtraces_v2,tango_0004.champsim.gz,0.6032,200000000,331583379,SUCCESS,2744.70
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5584,200000001,358136839,SUCCESS,2757.50
gtraces_v2,tango_0000.champsim.gz,0.5879,200000000,340196399,SUCCESS,2752.49
gtraces_v2,yankee_0000.champsim.gz,0.5745,200000002,348131862,SUCCESS,2758.90
gtraces_v2,merced_0003.champsim.gz,0.5789,200000007,345505231,SUCCESS,2791.07
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.163,200000000,171933649,SUCCESS,2809.82
gtraces_v2,merced_0001.champsim.gz,0.5827,200000000,343213767,SUCCESS,2837.59
gtraces_v2,tango_0003.champsim.gz,0.5588,200000000,357902361,SUCCESS,2857.09
gtraces_v2,tahoe_0001.champsim.gz,0.5336,200000000,374820214,SUCCESS,2939.33
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.8995,200000002,222353907,SUCCESS,2946.43
gtraces_v2,tahoe_0003.champsim.gz,0.5306,200000006,376963473,SUCCESS,2950.22
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.1,200000000,181771611,SUCCESS,2964.63
gtraces_v2,sierra.a.3_0001.champsim.gz,0.5197,200000002,384835518,SUCCESS,2970.87
gtraces_v2,sierra.a.3_0002.champsim.gz,0.5043,200000000,396591236,SUCCESS,3074.67
Graph/GAP,sssp-10.trace.gz,0.6602,200000004,302918483,SUCCESS,3116.13
