Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8387,200000000,238462726,SUCCESS,1883.84
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,0.8605,200000000,232413175,SUCCESS,1887.31
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.214,200000003,164746496,SUCCESS,1945.66
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.008,200000005,198399166,SUCCESS,1947.71
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.7554,200000003,264777143,SUCCESS,1967.69
ai-ml,llama2.c-stories110M.1.champsimtrace.gz,1.129,200000001,177075568,SUCCESS,1975.40
ai-ml,llama2.c-stories110M.3.champsimtrace.gz,1.091,200000005,183363751,SUCCESS,1978.66
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M.champsimtrace.xz,1.188,200000007,168328621,SUCCESS,1989.46
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.015,200000002,196996757,SUCCESS,2002.86
Graph/Ligra,ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M.champsimtrace.xz,1.208,200000005,165589198,SUCCESS,2005.21
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.105,200000000,180983993,SUCCESS,2029.12
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.691,200000000,118244114,SUCCESS,2042.33
SPEC17,649.fotonik3d_s-7084B.champsimtrace.xz,1.213,200000002,164834432,SUCCESS,2110.68
gtraces_v2,charlie_0004.champsim.gz,0.8324,200000004,240256831,SUCCESS,2114.63
Graph/GAP,bfs-14.trace.gz,0.5763,200000005,347067505,SUCCESS,2293.28
gtraces_v2,merced_0000.champsim.gz,0.6419,200000001,311587223,SUCCESS,2339.23
Graph/GAP,sssp-10.trace.gz,0.7087,200000005,282199407,SUCCESS,2374.81
gtraces_v2,charlie_0002.champsim.gz,0.7261,200000005,275456213,SUCCESS,2381.60
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,0.9647,200000003,207318198,SUCCESS,2412.05
Graph/GAP,sssp-14.trace.gz,0.7047,200000007,283813519,SUCCESS,2412.87
Graph/GAP,bfs-10.trace.gz,0.5057,200000001,395506952,SUCCESS,2474.70
gtraces_v2,yankee_0002.champsim.gz,0.5762,200000001,347121451,SUCCESS,2487.97
gtraces_v2,charlie_0003.champsim.gz,0.647,200000007,309139504,SUCCESS,2488.91
gtraces_v2,tahoe_0002.champsim.gz,0.656,200000001,304884236,SUCCESS,2487.79
Graph/GAP,cc-5.trace.gz,0.5801,200000001,344796759,SUCCESS,2511.87
SPEC17,654.roms_s-523B.champsimtrace.xz,0.9503,200000007,210466046,SUCCESS,2529.03
