Category_Folder,Trace_Name,IPC,Instructions,Cycles,Status,Duration(s)
Graph/Ligra,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M.champsimtrace.xz,1.47,200000003,136050699,SUCCESS,2218.41
ai-ml,bark.cpp-bark-small.coarse_token_gen.5.champsimtrace.gz,1.877,200000006,106556107,SUCCESS,2358.98
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,1.084,200000002,184551145,SUCCESS,2398.10
SPEC17,654.roms_s-523B.champsimtrace.xz,1.707,200000006,117157810,SUCCESS,2395.75
Graph/GMS,gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248.champsimstrace.gz,0.8969,200000000,222981027,SUCCESS,2439.49
Graph/Ligra,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,1.005,200000003,199039043,SUCCESS,2452.76
Graph/Ligra,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,1.005,200000000,199010132,SUCCESS,2479.86
ai-ml,stable-diffusion.cpp-sd-v1-4.ckpt.1.champsimtrace.gz,2.286,200000000,87492291,SUCCESS,2504.38
Graph/GAP,bfs-14.trace.gz,0.8091,200000001,247177750,SUCCESS,2529.03
gtraces_v2,charlie_0004.champsim.gz,0.9051,200000004,220977796,SUCCESS,2527.45
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-117.champsimtrace.gz,0.7499,200000000,266702686,SUCCESS,2538.84
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-367.champsimtrace.gz,1.086,200000001,184226214,SUCCESS,2545.63
ai-ml,stable-diffusion.cpp-v2-1_768-nonema-pruned.1.champsimtrace.gz,1.723,200000003,116073938,SUCCESS,2582.07
Graph/GAP,bfs-10.trace.gz,0.7516,200000001,266106297,SUCCESS,2628.25
Graph/GMS,gms.k_clique_list_danisch_edge_parallel.soc-pokec-relationships.slice-80.champsimtrace.gz,1.036,200000001,193077165,SUCCESS,2695.68
Graph/Ligra,ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,0.8343,200000000,239723484,SUCCESS,2855.62
gtraces_v2,charlie_0002.champsim.gz,0.7953,200000003,251481000,SUCCESS,2922.92
gtraces_v2,tahoe_0002.champsim.gz,0.7509,200000001,266342906,SUCCESS,2956.62
gtraces_v2,merced_0000.champsim.gz,0.6584,200000001,303762747,SUCCESS,2983.71
gtraces_v2,charlie_0003.champsim.gz,0.7225,200000007,276798310,SUCCESS,3130.23
Graph/Ligra,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,1.026,200000003,194848720,SUCCESS,3193.48
gtraces_v2,yankee_0002.champsim.gz,0.5604,200000000,356869360,SUCCESS,3295.91
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-137.champsimtrace.gz,0.5658,200000004,353485317,SUCCESS,3306.57
gtraces_v2,tango_0001.champsim.gz,0.6206,200000002,322292479,SUCCESS,3314.86
gtraces_v2,tahoe_0004.champsim.gz,0.5619,200000000,355917788,SUCCESS,3328.73
Graph/Ligra,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M.champsimtrace.xz,1.18,200000000,169460633,SUCCESS,3385.99
Graph/GMS,gms.triangle_count.soc-pokec-relationships.slice-360.champsimtrace.gz,0.5587,200000000,357992479,SUCCESS,3407.17
gtraces_v2,merced_0004.champsim.gz,0.5515,200000001,362672697,SUCCESS,3417.44
gtraces_v2,tahoe_0000.champsim.gz,0.5402,200000001,370256516,SUCCESS,3465.32
gtraces_v2,tango_0002.champsim.gz,0.5386,200000000,371320818,SUCCESS,3537.47
gtraces_v2,tango_0004.champsim.gz,0.5347,200000000,374025365,SUCCESS,3570.97
SPEC17,619.lbm_s-2676B.champsimtrace.xz,1.101,200000003,181734251,SUCCESS,3580.00
gtraces_v2,merced_0002.champsim.gz,0.5094,200000006,392589040,SUCCESS,3596.00
SPEC17,605.mcf_s-484B.champsimtrace.xz,0.8859,200000002,225756088,SUCCESS,3622.97
gtraces_v2,tango_0000.champsim.gz,0.5106,200000000,391718449,SUCCESS,3707.37
Graph/GAP,sssp-10.trace.gz,0.6609,200000004,302620297,SUCCESS,3783.79
gtraces_v2,merced_0003.champsim.gz,0.4886,200000007,409311589,SUCCESS,3805.25
Graph/GAP,sssp-14.trace.gz,0.6576,200000007,304125124,SUCCESS,3816.38
gtraces_v2,merced_0001.champsim.gz,0.4946,200000001,404362027,SUCCESS,3861.43
gtraces_v2,tango_0003.champsim.gz,0.4821,200000000,414813100,SUCCESS,3869.58
gtraces_v2,yankee_0001.champsim.gz,0.4495,200000000,444977563,SUCCESS,3969.30
gtraces_v2,yankee_0004.champsim.gz,0.4417,200000004,452844674,SUCCESS,3986.90
SPEC17,620.omnetpp_s-874B.champsimtrace.xz,0.5642,200000002,354507781,SUCCESS,3985.72
gtraces_v2,yankee_0003.champsim.gz,0.4478,200000000,446643372,SUCCESS,3991.58
gtraces_v2,yankee_0000.champsim.gz,0.4353,200000002,459480432,SUCCESS,4043.25
gtraces_v2,tahoe_0001.champsim.gz,0.4442,200000000,450285150,SUCCESS,4110.26
gtraces_v2,tahoe_0003.champsim.gz,0.4353,200000006,459419212,SUCCESS,4187.47
gtraces_v2,sierra.a.3_0001.champsim.gz,0.4155,200000001,481362474,SUCCESS,4224.01
SPEC17,605.mcf_s-472B.champsimtrace.xz,0.761,200000000,262821629,SUCCESS,4270.91
